preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
Lime is a,fruit.,lime,none,fruit,25,"[-9.246234893798828, -11.491843223571777, -8.814203262329102, -9.531774520874023, -8.16330623626709, -8.124645233154297, -8.876636505126953, -9.447593688964844, -9.815755844116211, -9.374415397644043, -9.25949478149414, -7.707719326019287, -11.311056137084961, -10.5844087600708, -12.472967147827148, -11.222143173217773, -8.30607795715332, -9.69814682006836, -8.931872367858887, -11.700528144836426, -10.409027099609375, -9.772793769836426, -11.034671783447266, -9.469681739807129, -10.776926040649414, -9.816324234008789, -10.704977035522461, -11.684642791748047, -10.633576393127441, -11.794490814208984, -13.636459350585938, -9.931615829467773, -8.925179481506348, -10.072774887084961, -9.850947380065918, -10.334468841552734, -10.908201217651367, -7.877230167388916, -10.864667892456055, -8.700228691101074, -10.535785675048828, -10.83927059173584, -9.36116886138916, -6.402726650238037, -8.856555938720703, -8.119468688964844, -12.116482734680176, -9.429974555969238, -8.883598327636719, -7.637436866760254]",7241732096,mistralai_Mistral-7B-v0.1
Tangelo is a,fruit.,tangelo,none,fruit,26,"[-9.06113052368164, -9.704132080078125, -9.349727630615234, -10.973556518554688, -9.901092529296875, -9.299713134765625, -10.242166519165039, -9.199243545532227, -10.06155014038086, -10.83169937133789, -9.737427711486816, -9.787712097167969, -9.25482177734375, -9.442440032958984, -9.677227020263672, -9.423137664794922, -10.066375732421875, -9.52843952178955, -9.973828315734863, -10.770125389099121, -9.96891975402832, -10.326131820678711, -8.870917320251465, -8.673055648803711, -9.505064964294434, -11.164345741271973, -10.21689224243164, -10.412985801696777, -9.308075904846191, -10.892932891845703, -10.57359504699707, -9.799514770507812, -9.952317237854004, -9.773589134216309, -10.134589195251465, -9.65407657623291, -8.746179580688477, -9.682141304016113, -9.785554885864258, -9.700531005859375, -10.906669616699219, -9.723503112792969, -9.728670120239258, -9.474380493164062, -9.702560424804688, -9.748082160949707, -9.610189437866211, -10.220110893249512, -9.753040313720703, -10.682615280151367]",7241732096,mistralai_Mistral-7B-v0.1
Papaya is a,fruit.,papaya,none,fruit,27,"[-7.909224033355713, -8.214069366455078, -8.203933715820312, -11.498878479003906, -12.06517219543457, -10.105393409729004, -9.784578323364258, -9.209449768066406, -8.810675621032715, -8.793060302734375, -8.99704360961914, -8.946037292480469, -11.280782699584961, -10.1328706741333, -9.35035514831543, -9.541253089904785, -7.947577476501465, -10.079214096069336, -9.23360824584961, -9.008594512939453, -8.510538101196289, -8.977582931518555, -9.019264221191406, -10.87649917602539, -10.240640640258789, -11.325705528259277, -10.187850952148438, -10.049009323120117, -9.856502532958984, -10.615486145019531, -10.250762939453125, -7.717381477355957, -9.517556190490723, -9.814797401428223, -8.006290435791016, -8.610902786254883, -11.681303024291992, -11.943553924560547, -11.279244422912598, -9.423847198486328, -8.106263160705566, -8.378620147705078, -11.242029190063477, -8.64613151550293, -9.002826690673828, -9.830891609191895, -10.836946487426758, -9.917925834655762, -9.565351486206055, -10.277287483215332]",7241732096,mistralai_Mistral-7B-v0.1
Honeydew is a,fruit.,honeydew,none,fruit,28,"[-10.684776306152344, -10.266368865966797, -10.442142486572266, -10.276955604553223, -10.848777770996094, -10.898139953613281, -10.67567253112793, -10.516180038452148, -9.816253662109375, -10.515425682067871, -9.695955276489258, -9.997727394104004, -10.36720085144043, -10.36259937286377, -10.403861045837402, -9.830702781677246, -11.081428527832031, -11.032288551330566, -10.640670776367188, -10.091951370239258, -10.444562911987305, -8.63967227935791, -10.544550895690918, -9.42556381225586, -10.310460090637207, -7.917525768280029, -10.67951488494873, -10.8265962600708, -9.841623306274414, -9.52495002746582, -9.369234085083008, -10.852338790893555, -9.968475341796875, -10.42782974243164, -9.892141342163086, -8.500718116760254, -10.65085220336914, -10.468832969665527, -11.258721351623535, -10.575511932373047, -9.79376220703125, -10.905658721923828, -10.689151763916016, -10.942832946777344, -10.056694030761719, -9.534353256225586, -10.571891784667969, -10.45865535736084, -10.260749816894531, -9.914487838745117]",7241732096,mistralai_Mistral-7B-v0.1
Fig is a,fruit.,fig,none,fruit,29,"[-10.236246109008789, -9.039445877075195, -8.470401763916016, -9.394436836242676, -9.593181610107422, -9.1436767578125, -9.220649719238281, -9.491195678710938, -9.781905174255371, -10.721529006958008, -8.293567657470703, -11.544321060180664, -7.851603984832764, -9.82261848449707, -8.93430233001709, -6.654111862182617, -10.254276275634766, -9.636320114135742, -11.445444107055664, -9.470287322998047, -8.050027847290039, -8.969505310058594, -10.105175018310547, -8.688912391662598, -11.020397186279297, -8.507328987121582, -6.453638076782227, -7.424153804779053, -10.433862686157227, -9.690793991088867, -9.594549179077148, -10.540521621704102, -10.191215515136719, -11.149816513061523, -10.52422046661377, -9.790727615356445, -5.158852577209473, -8.052627563476562, -9.318669319152832, -11.059761047363281, -8.635686874389648, -9.174324989318848, -9.42416000366211, -6.616574764251709, -8.684738159179688, -7.854685306549072, -10.749313354492188, -11.547368049621582, -8.544784545898438, -7.458016395568848]",7241732096,mistralai_Mistral-7B-v0.1
Mango is a,fruit.,mango,none,fruit,30,"[-10.26400375366211, -9.715167999267578, -11.099815368652344, -10.378690719604492, -10.644302368164062, -8.58790111541748, -10.445596694946289, -8.59981632232666, -11.954792022705078, -9.52458381652832, -8.042617797851562, -10.319113731384277, -10.16988754272461, -8.438058853149414, -10.036155700683594, -10.880145072937012, -7.184288024902344, -9.370009422302246, -9.140823364257812, -9.549646377563477, -10.738826751708984, -7.2569499015808105, -10.019399642944336, -8.850785255432129, -8.317089080810547, -8.468561172485352, -9.04047966003418, -11.271175384521484, -11.392255783081055, -9.03870964050293, -10.445815086364746, -8.103240013122559, -9.189705848693848, -7.990196228027344, -10.204635620117188, -10.276830673217773, -7.305706977844238, -12.357996940612793, -10.368106842041016, -8.400126457214355, -9.056509971618652, -9.171757698059082, -9.762533187866211, -7.13759183883667, -10.314820289611816, -8.06496810913086, -10.800451278686523, -11.835400581359863, -8.078311920166016, -9.363872528076172]",7241732096,mistralai_Mistral-7B-v0.1
Guava is a,fruit.,guava,none,fruit,31,"[-9.911026000976562, -8.204049110412598, -9.225343704223633, -10.29317855834961, -10.680490493774414, -10.541921615600586, -8.034744262695312, -11.141622543334961, -9.290901184082031, -9.210289001464844, -9.919822692871094, -8.91016674041748, -10.958216667175293, -10.949264526367188, -8.337764739990234, -10.264528274536133, -8.715349197387695, -10.041138648986816, -10.952823638916016, -10.652517318725586, -9.568729400634766, -9.820963859558105, -8.544917106628418, -9.061882972717285, -10.223344802856445, -8.846955299377441, -9.007682800292969, -6.540440559387207, -11.493812561035156, -8.999578475952148, -10.384872436523438, -8.220407485961914, -9.929092407226562, -9.513357162475586, -7.627811908721924, -8.486135482788086, -9.140157699584961, -10.446466445922852, -9.489812850952148, -9.39936637878418, -9.450243949890137, -7.511717796325684, -8.958620071411133, -11.61756706237793, -10.825944900512695, -9.144206047058105, -8.803641319274902, -10.619023323059082, -8.665609359741211, -10.728803634643555]",7241732096,mistralai_Mistral-7B-v0.1
Pomegranate is a,fruit.,pomegranate,none,fruit,32,"[-9.632776260375977, -10.233085632324219, -10.884481430053711, -10.495689392089844, -9.716924667358398, -9.912527084350586, -10.538202285766602, -9.596830368041992, -8.808141708374023, -9.787212371826172, -7.71760368347168, -9.353935241699219, -9.410646438598633, -9.428024291992188, -10.31511116027832, -9.062793731689453, -10.08210563659668, -9.733732223510742, -6.173345565795898, -10.359062194824219, -9.42599868774414, -10.068105697631836, -10.53115463256836, -9.120626449584961, -9.752950668334961, -8.886486053466797, -9.457464218139648, -9.474611282348633, -8.581354141235352, -9.548199653625488, -7.820000648498535, -9.9105224609375, -10.67902660369873, -11.109323501586914, -9.19276237487793, -9.349169731140137, -10.65687084197998, -9.061620712280273, -9.643331527709961, -7.8858537673950195, -9.397903442382812, -9.973804473876953, -8.477350234985352, -9.34950065612793, -9.944696426391602, -9.666309356689453, -10.515390396118164, -10.284238815307617, -9.905845642089844, -10.086474418640137]",7241732096,mistralai_Mistral-7B-v0.1
Cranberry is a,fruit.,cranberry,none,fruit,33,"[-10.469402313232422, -10.515644073486328, -10.372716903686523, -10.749547958374023, -9.598806381225586, -10.450726509094238, -10.912128448486328, -10.390767097473145, -10.363384246826172, -11.19223403930664, -10.180429458618164, -10.96073055267334, -10.439176559448242, -10.028478622436523, -9.929673194885254, -11.040081977844238, -9.978119850158691, -10.448896408081055, -10.206154823303223, -10.325922012329102, -10.980681419372559, -10.009672164916992, -9.722667694091797, -10.782724380493164, -11.486173629760742, -10.582545280456543, -10.329273223876953, -10.904777526855469, -10.504629135131836, -10.653118133544922, -9.02314567565918, -9.543111801147461, -11.460027694702148, -10.037012100219727, -10.886568069458008, -10.418410301208496, -10.847930908203125, -9.774785041809082, -10.126592636108398, -10.313127517700195, -10.94609260559082, -9.54710578918457, -10.343108177185059, -9.986056327819824, -10.777765274047852, -10.554512023925781, -11.304325103759766, -10.672856330871582, -10.31842041015625, -10.900216102600098]",7241732096,mistralai_Mistral-7B-v0.1
Passion fruit is a,fruit.,passion fruit,none,fruit,34,"[-10.50074577331543, -11.013463973999023, -11.175172805786133, -10.412094116210938, -10.900535583496094, -9.25922966003418, -10.902408599853516, -10.525842666625977, -11.609808921813965, -10.696428298950195, -10.640380859375, -10.897065162658691, -11.273659706115723, -9.865586280822754, -10.730199813842773, -10.624122619628906, -11.48531723022461, -10.8314208984375, -10.542109489440918, -11.13886833190918, -11.136282920837402, -10.865472793579102, -11.122713088989258, -11.554630279541016, -10.736041069030762, -10.822351455688477, -10.857378005981445, -10.439201354980469, -10.969497680664062, -10.679134368896484, -10.576354026794434, -10.821274757385254, -10.91653060913086, -7.312889575958252, -10.42441177368164, -11.22323226928711, -11.318748474121094, -11.062100410461426, -10.961663246154785, -11.239216804504395, -10.583703994750977, -11.498868942260742, -10.514944076538086, -10.742132186889648, -10.80058479309082, -11.51902961730957, -11.476571083068848, -10.005702018737793, -10.540703773498535, -11.365528106689453]",7241732096,mistralai_Mistral-7B-v0.1
Prune is a,fruit.,prune,none,fruit,35,"[-9.156659126281738, -7.03453254699707, -11.101631164550781, -9.622018814086914, -10.58596420288086, -10.011775016784668, -7.845677375793457, -9.518566131591797, -10.992107391357422, -9.948997497558594, -9.94072151184082, -9.264209747314453, -6.273900032043457, -9.864168167114258, -9.747390747070312, -9.412908554077148, -11.00179672241211, -8.483512878417969, -10.09771728515625, -10.01736068725586, -10.50603199005127, -9.808879852294922, -9.498616218566895, -11.50992202758789, -8.537044525146484, -9.332216262817383, -7.980472087860107, -9.518762588500977, -9.235917091369629, -11.30872631072998, -9.312532424926758, -9.239675521850586, -8.643802642822266, -11.827916145324707, -10.268719673156738, -10.468111038208008, -6.82597541809082, -8.40678596496582, -9.734230041503906, -9.988105773925781, -9.94837760925293, -9.886838912963867, -8.883646011352539, -8.756193161010742, -10.457118034362793, -10.968671798706055, -10.298074722290039, -9.865333557128906, -9.986743927001953, -7.88611364364624]",7241732096,mistralai_Mistral-7B-v0.1
Gooseberry is a,fruit.,gooseberry,none,fruit,36,"[-10.369272232055664, -10.120328903198242, -10.589609146118164, -10.40376091003418, -9.942133903503418, -10.701602935791016, -10.540592193603516, -10.489973068237305, -10.581493377685547, -10.583139419555664, -10.249937057495117, -10.638420104980469, -9.48574161529541, -9.95596694946289, -10.343247413635254, -10.271430969238281, -10.266654968261719, -10.122666358947754, -10.00857925415039, -10.384086608886719, -10.386181831359863, -10.100297927856445, -10.039775848388672, -10.180017471313477, -9.934545516967773, -10.292679786682129, -10.304824829101562, -9.715240478515625, -10.3881196975708, -10.368465423583984, -10.261072158813477, -10.370405197143555, -10.842735290527344, -10.555723190307617, -10.37270736694336, -10.21549129486084, -9.503751754760742, -10.056013107299805, -10.045190811157227, -9.935400009155273, -9.903311729431152, -10.33143424987793, -10.412678718566895, -9.864604949951172, -10.819671630859375, -10.18299674987793, -10.259605407714844, -10.299171447753906, -9.900199890136719, -10.178184509277344]",7241732096,mistralai_Mistral-7B-v0.1
Date is a,fruit.,date,none,fruit,37,"[-11.889498710632324, -8.623397827148438, -9.007817268371582, -6.423329830169678, -8.764476776123047, -9.736254692077637, -12.120203971862793, -9.770208358764648, -8.955084800720215, -9.361650466918945, -11.125673294067383, -8.79318904876709, -8.175042152404785, -8.236193656921387, -11.129541397094727, -8.34768295288086, -10.428932189941406, -10.80572509765625, -9.616289138793945, -12.86958122253418, -8.520934104919434, -8.171226501464844, -8.074604034423828, -9.103254318237305, -6.991479873657227, -9.299510955810547, -9.135396957397461, -10.313642501831055, -9.497008323669434, -8.024334907531738, -9.314916610717773, -9.739157676696777, -8.369941711425781, -9.378105163574219, -9.092219352722168, -9.180105209350586, -10.989562034606934, -9.129035949707031, -11.431629180908203, -7.359836578369141, -10.65025520324707, -9.508275985717773, -10.833303451538086, -10.841702461242676, -9.742182731628418, -9.12656021118164, -10.751693725585938, -8.488458633422852, -10.17444133758545, -9.237552642822266]",7241732096,mistralai_Mistral-7B-v0.1
Kumquat is a,fruit.,kumquat,none,fruit,38,"[-11.128477096557617, -12.70746898651123, -11.41148567199707, -11.004762649536133, -12.306583404541016, -10.153703689575195, -11.149419784545898, -11.422994613647461, -10.469903945922852, -10.545759201049805, -10.479605674743652, -11.667920112609863, -10.945049285888672, -11.327423095703125, -11.638717651367188, -10.371435165405273, -11.58304214477539, -11.648178100585938, -10.96138858795166, -11.123729705810547, -10.968149185180664, -11.125864028930664, -11.065764427185059, -11.753843307495117, -10.558126449584961, -9.960653305053711, -11.382522583007812, -11.597578048706055, -11.100025177001953, -11.002220153808594, -10.322383880615234, -11.608579635620117, -9.978059768676758, -11.607134819030762, -11.262594223022461, -11.010923385620117, -11.103321075439453, -12.041128158569336, -11.3966064453125, -10.990367889404297, -10.57536792755127, -11.051464080810547, -10.837462425231934, -11.555943489074707, -12.01770305633545, -11.579093933105469, -11.163122177124023, -11.516977310180664, -10.800970077514648, -12.091827392578125]",7241732096,mistralai_Mistral-7B-v0.1
Raisin is a,fruit.,raisin,none,fruit,39,"[-6.798311233520508, -9.08317756652832, -8.820751190185547, -9.569007873535156, -9.638919830322266, -10.043289184570312, -9.443557739257812, -8.91264533996582, -9.93436336517334, -9.854421615600586, -9.384154319763184, -8.453466415405273, -7.899711608886719, -8.978416442871094, -9.166971206665039, -9.768518447875977, -9.65876579284668, -9.494072914123535, -9.36860179901123, -10.713244438171387, -9.376102447509766, -10.105477333068848, -9.202199935913086, -10.165851593017578, -10.288576126098633, -10.179527282714844, -9.573601722717285, -8.726302146911621, -9.111808776855469, -10.603914260864258, -9.47641372680664, -8.642428398132324, -9.334085464477539, -9.40226936340332, -10.720611572265625, -9.141230583190918, -9.082799911499023, -9.735101699829102, -9.464334487915039, -9.782829284667969, -9.201493263244629, -9.482769012451172, -9.661155700683594, -9.551193237304688, -10.349220275878906, -11.06528377532959, -9.566644668579102, -10.090391159057617, -9.5970458984375, -9.213373184204102]",7241732096,mistralai_Mistral-7B-v0.1
Muskmelon is a,fruit.,muskmelon,none,fruit,40,"[-13.62890911102295, -9.597174644470215, -11.67650032043457, -13.48338508605957, -13.33377456665039, -13.345440864562988, -13.993936538696289, -9.23665714263916, -13.83604621887207, -12.537322998046875, -12.963311195373535, -13.12707233428955, -12.133748054504395, -13.853233337402344, -13.487662315368652, -14.672765731811523, -13.477788925170898, -13.073541641235352, -9.926013946533203, -13.251470565795898, -15.744375228881836, -13.978562355041504, -12.824275970458984, -12.567439079284668, -11.755708694458008, -13.72716999053955, -6.752354145050049, -12.794830322265625, -13.68062686920166, -13.767743110656738, -11.60749626159668, -14.640501022338867, -12.107831954956055, -12.913420677185059, -12.88011646270752, -14.008027076721191, -12.827775955200195, -8.797891616821289, -12.96536922454834, -13.51628303527832, -13.606463432312012, -13.992403030395508, -13.347166061401367, -12.192229270935059, -13.060474395751953, -13.884241104125977, -13.023856163024902, -15.560067176818848, -12.653185844421387, -13.744254112243652]",7241732096,mistralai_Mistral-7B-v0.1
Persimmon is a,fruit.,persimmon,none,fruit,41,"[-11.348995208740234, -12.176159858703613, -9.082317352294922, -11.752320289611816, -11.83682632446289, -9.72390079498291, -11.371744155883789, -10.608893394470215, -11.570043563842773, -11.149097442626953, -11.34250545501709, -11.089588165283203, -10.921764373779297, -11.813457489013672, -11.162750244140625, -11.241491317749023, -12.117456436157227, -12.54438591003418, -11.08016586303711, -11.620209693908691, -11.265316009521484, -12.460866928100586, -11.587140083312988, -11.042695999145508, -10.996875762939453, -10.917417526245117, -12.830650329589844, -11.362040519714355, -12.105264663696289, -10.682352066040039, -10.468606948852539, -12.11764144897461, -11.754648208618164, -11.233028411865234, -12.200088500976562, -11.49167251586914, -12.044811248779297, -12.453956604003906, -11.756425857543945, -11.249818801879883, -12.76767349243164, -12.11074447631836, -11.294838905334473, -12.085540771484375, -10.810628890991211, -11.634467124938965, -12.17078971862793, -12.779064178466797, -10.866814613342285, -11.01132583618164]",7241732096,mistralai_Mistral-7B-v0.1
Pawpaw is a,fruit.,pawpaw,none,fruit,42,"[-10.505396842956543, -10.053262710571289, -9.123372077941895, -5.774141788482666, -8.456361770629883, -8.792994499206543, -8.983190536499023, -9.11984634399414, -8.472579956054688, -9.325057983398438, -8.678138732910156, -9.740157127380371, -9.63250732421875, -9.404996871948242, -9.121858596801758, -9.252471923828125, -8.241376876831055, -8.977672576904297, -9.429519653320312, -7.930523872375488, -8.808924674987793, -9.614574432373047, -8.694252014160156, -11.10570240020752, -9.810543060302734, -7.6918110847473145, -8.278112411499023, -8.314046859741211, -8.968448638916016, -10.319040298461914, -9.59267807006836, -8.339139938354492, -9.725686073303223, -9.512954711914062, -9.507295608520508, -9.631447792053223, -9.363727569580078, -9.53140640258789, -9.270462036132812, -8.962254524230957, -8.055843353271484, -10.137170791625977, -9.862245559692383, -8.847382545471191, -10.219047546386719, -9.716236114501953, -9.543376922607422, -9.865119934082031, -7.785666465759277, -8.520349502563477]",7241732096,mistralai_Mistral-7B-v0.1
Coconut is a,fruit.,coconut,none,fruit,43,"[-9.385027885437012, -8.830361366271973, -9.35080337524414, -9.541460037231445, -8.4243803024292, -10.181556701660156, -9.963991165161133, -9.684703826904297, -9.53012466430664, -10.338436126708984, -9.944568634033203, -9.478559494018555, -10.920746803283691, -8.92694091796875, -11.019247055053711, -9.174795150756836, -9.283208847045898, -10.759866714477539, -9.853479385375977, -9.1807861328125, -8.5755615234375, -9.054306983947754, -10.036101341247559, -9.89419174194336, -9.148582458496094, -9.808721542358398, -9.786272048950195, -8.912263870239258, -9.492431640625, -9.273855209350586, -10.442303657531738, -9.430122375488281, -10.208067893981934, -10.860591888427734, -7.626148700714111, -9.633472442626953, -10.072224617004395, -9.6348237991333, -8.308732986450195, -9.166007041931152, -8.110189437866211, -9.130138397216797, -9.657381057739258, -9.11861801147461, -8.886070251464844, -9.412328720092773, -9.551482200622559, -9.157964706420898, -9.107796669006348, -7.871244430541992]",7241732096,mistralai_Mistral-7B-v0.1
Avocado is a,fruit.,avocado,none,fruit,44,"[-10.676261901855469, -9.3667573928833, -10.557476997375488, -10.039626121520996, -10.35123062133789, -9.282870292663574, -9.967205047607422, -9.762055397033691, -9.76462173461914, -10.00716781616211, -10.016965866088867, -10.253837585449219, -10.14465618133545, -9.730789184570312, -9.50140380859375, -10.101276397705078, -10.076671600341797, -9.042366981506348, -10.718484878540039, -10.16889762878418, -8.668146133422852, -10.05821418762207, -9.91630744934082, -9.96902084350586, -9.637185096740723, -10.170843124389648, -9.780731201171875, -10.280387878417969, -10.718185424804688, -9.765870094299316, -9.551652908325195, -9.80949878692627, -9.611572265625, -9.848859786987305, -10.090105056762695, -11.339683532714844, -10.913497924804688, -10.549263000488281, -9.213371276855469, -9.236997604370117, -10.03471565246582, -10.103693008422852, -9.167019844055176, -10.225589752197266, -10.796368598937988, -9.883016586303711, -9.562460899353027, -9.685012817382812, -9.957197189331055, -9.763187408447266]",7241732096,mistralai_Mistral-7B-v0.1
Pumpkin is a,fruit.,pumpkin,none,fruit,45,"[-9.157700538635254, -9.8809175491333, -10.08212661743164, -9.4567289352417, -9.0829496383667, -9.742130279541016, -9.311541557312012, -9.969568252563477, -9.063370704650879, -8.6219482421875, -11.047409057617188, -9.275436401367188, -8.870354652404785, -9.4927339553833, -7.684708118438721, -8.926807403564453, -10.146566390991211, -9.883312225341797, -10.061306953430176, -8.429882049560547, -9.892496109008789, -9.969292640686035, -10.016992568969727, -9.68040657043457, -9.483392715454102, -9.348318099975586, -8.985763549804688, -9.880132675170898, -9.800769805908203, -9.361705780029297, -10.491554260253906, -10.546096801757812, -9.521718978881836, -9.960269927978516, -9.545392990112305, -8.919002532958984, -8.858924865722656, -9.632529258728027, -9.14201545715332, -10.02437973022461, -10.147289276123047, -8.475913047790527, -10.604677200317383, -9.338766098022461, -8.38429069519043, -9.924272537231445, -8.906698226928711, -11.017349243164062, -9.451136589050293, -10.038607597351074]",7241732096,mistralai_Mistral-7B-v0.1
Tomato is a,fruit.,tomato,none,fruit,46,"[-9.0039701461792, -8.951604843139648, -8.703248977661133, -8.840411186218262, -10.622769355773926, -7.51689338684082, -8.54008674621582, -7.839410305023193, -9.86116886138916, -11.597066879272461, -7.904532432556152, -8.982582092285156, -6.51393985748291, -9.706704139709473, -8.96845817565918, -10.562973976135254, -9.026069641113281, -11.347902297973633, -7.274959564208984, -7.762487411499023, -10.866079330444336, -9.717873573303223, -9.994390487670898, -9.269546508789062, -10.081258773803711, -6.989278316497803, -7.95380973815918, -9.77444076538086, -8.054753303527832, -5.159229278564453, -8.602364540100098, -8.950031280517578, -9.424715995788574, -9.786710739135742, -9.007360458374023, -9.09026050567627, -10.7635498046875, -8.77592945098877, -5.915831089019775, -8.680734634399414, -9.83937931060791, -9.030192375183105, -10.62887191772461, -8.923397064208984, -8.34123420715332, -6.921783924102783, -10.851304054260254, -8.129068374633789, -9.352039337158203, -9.815221786499023]",7241732096,mistralai_Mistral-7B-v0.1
Nut is a,fruit.,nut,none,fruit,47,"[-8.353048324584961, -9.97899055480957, -10.415756225585938, -10.495919227600098, -9.270484924316406, -10.00579833984375, -8.58277702331543, -8.982654571533203, -8.500365257263184, -12.989442825317383, -9.776601791381836, -10.848785400390625, -8.77469253540039, -8.004361152648926, -8.490943908691406, -6.8995513916015625, -11.035269737243652, -12.353377342224121, -7.38185977935791, -10.267698287963867, -11.230207443237305, -8.664234161376953, -8.617118835449219, -9.512045860290527, -9.196104049682617, -12.081596374511719, -10.353568077087402, -7.814938068389893, -7.827450275421143, -11.252357482910156, -10.712739944458008, -8.435139656066895, -9.502594947814941, -11.70247745513916, -7.695300102233887, -8.702245712280273, -7.404087066650391, -8.573665618896484, -9.447612762451172, -9.42619800567627, -9.379401206970215, -8.093074798583984, -7.503426551818848, -9.803791046142578, -8.24405574798584, -9.48812484741211, -11.154769897460938, -10.654284477233887, -8.850512504577637, -11.25623893737793]",7241732096,mistralai_Mistral-7B-v0.1
Gourd is a,fruit.,gourd,none,fruit,48,"[-10.505620956420898, -10.156656265258789, -10.22838020324707, -9.554291725158691, -10.489971160888672, -9.255054473876953, -9.914186477661133, -9.242454528808594, -9.53935718536377, -10.704414367675781, -9.730117797851562, -9.239730834960938, -9.24697494506836, -9.753849983215332, -10.734253883361816, -8.061602592468262, -8.881586074829102, -9.860265731811523, -10.166133880615234, -9.744709014892578, -9.886558532714844, -9.737020492553711, -10.003369331359863, -9.356468200683594, -9.005867004394531, -8.485322952270508, -10.395509719848633, -8.693361282348633, -9.956649780273438, -9.93055534362793, -9.154108047485352, -8.630032539367676, -9.753579139709473, -10.130369186401367, -9.26779556274414, -9.7921142578125, -9.579391479492188, -9.846389770507812, -9.245351791381836, -9.823545455932617, -10.013459205627441, -9.712418556213379, -9.390768051147461, -9.80128288269043, -9.382848739624023, -9.948310852050781, -9.315649032592773, -9.100610733032227, -10.060197830200195, -9.68669605255127]",7241732096,mistralai_Mistral-7B-v0.1
Olive is a,fruit.,olive,none,fruit,49,"[-8.973897933959961, -12.512680053710938, -9.487430572509766, -11.331685066223145, -10.00143051147461, -7.640740394592285, -6.819302082061768, -8.487010955810547, -9.671518325805664, -11.33545207977295, -8.778554916381836, -9.385913848876953, -8.57376766204834, -9.42655086517334, -8.494196891784668, -9.42238998413086, -10.48691463470459, -8.635517120361328, -9.719650268554688, -9.809680938720703, -7.590073585510254, -8.92548942565918, -8.565568923950195, -9.4628267288208, -10.316076278686523, -9.993684768676758, -9.040420532226562, -12.807926177978516, -10.503189086914062, -11.081184387207031, -9.205403327941895, -10.138038635253906, -9.132301330566406, -9.033555030822754, -10.26359748840332, -8.687162399291992, -10.041627883911133, -9.669879913330078, -8.592511177062988, -9.588591575622559, -6.356340408325195, -12.208038330078125, -9.321760177612305, -8.371554374694824, -11.058923721313477, -10.753652572631836, -10.594503402709961, -11.869504928588867, -9.272021293640137, -8.002373695373535]",7241732096,mistralai_Mistral-7B-v0.1
Pickle is a,fruit.,pickle,none,fruit,50,"[-8.52148723602295, -12.16345500946045, -7.935042381286621, -8.435340881347656, -10.33043098449707, -10.293790817260742, -8.455364227294922, -8.64277458190918, -9.277327537536621, -9.100656509399414, -6.861615180969238, -9.838598251342773, -10.613276481628418, -8.457712173461914, -8.179241180419922, -8.784347534179688, -8.534748077392578, -7.3431077003479, -7.947105884552002, -6.7385101318359375, -7.6137189865112305, -11.405547142028809, -11.040773391723633, -8.882123947143555, -7.661855220794678, -7.8554368019104, -9.376812934875488, -7.354157447814941, -8.759700775146484, -8.026796340942383, -10.831775665283203, -9.374932289123535, -10.584505081176758, -7.507359504699707, -7.5378336906433105, -5.99802303314209, -5.455993175506592, -11.208686828613281, -8.59984016418457, -10.200654029846191, -11.281307220458984, -9.052807807922363, -10.703350067138672, -10.296611785888672, -10.221120834350586, -8.718389511108398, -8.38355541229248, -8.45335578918457, -9.464035034179688, -8.725090026855469]",7241732096,mistralai_Mistral-7B-v0.1
Squash is a,fruit.,squash,none,fruit,51,"[-10.282635688781738, -10.69035530090332, -10.543529510498047, -7.960858345031738, -9.65342903137207, -9.616706848144531, -9.061365127563477, -10.589471817016602, -9.609516143798828, -9.805753707885742, -10.840386390686035, -10.072498321533203, -10.012537002563477, -10.149399757385254, -10.263839721679688, -9.344279289245605, -9.566320419311523, -9.445289611816406, -9.08924674987793, -9.59277057647705, -9.682985305786133, -9.964181900024414, -9.491865158081055, -9.883794784545898, -9.537580490112305, -9.277246475219727, -9.515626907348633, -10.116313934326172, -10.430047988891602, -9.247593879699707, -9.782326698303223, -8.888799667358398, -9.643598556518555, -9.829073905944824, -8.885881423950195, -9.224323272705078, -9.868707656860352, -7.521120071411133, -9.30445671081543, -10.083559036254883, -10.329769134521484, -10.789154052734375, -9.682600021362305, -9.911166191101074, -9.626157760620117, -10.62002182006836, -9.781614303588867, -9.921463012695312, -9.603998184204102, -9.505617141723633]",7241732096,mistralai_Mistral-7B-v0.1
