preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A shirt is a,clothing.,shirt,none,clothing,2,"[-9.666536331176758, -11.72160530090332, -11.147218704223633, -10.877738952636719, -12.815826416015625, -12.829689025878906, -11.82094955444336, -10.288686752319336, -9.859575271606445, -10.601980209350586, -10.108274459838867, -12.389785766601562, -11.370973587036133, -9.572582244873047, -11.880025863647461, -9.930519104003906, -10.952363967895508, -11.143531799316406, -10.899070739746094, -10.716694831848145, -11.800673484802246, -11.573843002319336, -11.50717830657959, -11.027379989624023, -12.728665351867676, -12.332601547241211, -10.355554580688477, -10.63187026977539, -10.863981246948242, -10.470264434814453, -10.153735160827637, -8.663186073303223, -11.017964363098145, -10.561910629272461, -10.55340576171875, -10.896026611328125, -11.606740951538086, -10.062204360961914, -11.291452407836914, -12.39358139038086, -10.887540817260742, -8.6480073928833, -8.77265453338623, -9.559891700744629, -9.683103561401367, -9.304141998291016, -11.406455039978027, -13.771217346191406, -9.690577507019043, -10.200532913208008]",7241732096,mistralai_Mistral-7B-v0.1
A dress is a,clothing.,dress,none,clothing,3,"[-11.432044982910156, -12.181407928466797, -12.453753471374512, -8.895580291748047, -10.834169387817383, -11.694584846496582, -9.792924880981445, -11.909846305847168, -12.02308464050293, -10.053860664367676, -10.796070098876953, -12.795027732849121, -8.93238353729248, -11.422486305236816, -11.228168487548828, -11.363222122192383, -11.834074974060059, -11.372305870056152, -14.276384353637695, -10.210296630859375, -13.119954109191895, -11.772346496582031, -10.97552490234375, -10.37159538269043, -10.675848007202148, -12.76663875579834, -11.67577075958252, -10.623424530029297, -11.332440376281738, -12.341409683227539, -8.293390274047852, -10.64952278137207, -11.894308090209961, -8.836414337158203, -12.089564323425293, -14.054492950439453, -10.973407745361328, -11.42613410949707, -11.667925834655762, -11.165759086608887, -10.150145530700684, -10.953207015991211, -9.551713943481445, -11.537623405456543, -11.243921279907227, -10.29743766784668, -13.225226402282715, -11.65909194946289, -11.990880012512207, -9.882072448730469]",7241732096,mistralai_Mistral-7B-v0.1
A skirt is a,clothing.,skirt,none,clothing,4,"[-10.600268363952637, -12.98823356628418, -10.637004852294922, -10.792381286621094, -9.77241039276123, -12.306131362915039, -11.514206886291504, -12.832864761352539, -12.75668716430664, -10.542839050292969, -11.857942581176758, -12.070232391357422, -11.261096954345703, -9.516019821166992, -8.647076606750488, -13.043767929077148, -12.003820419311523, -13.457545280456543, -7.9517822265625, -13.129037857055664, -11.545969009399414, -11.107818603515625, -11.7907075881958, -12.565668106079102, -9.977884292602539, -11.501826286315918, -11.081872940063477, -10.300250053405762, -12.48517894744873, -13.70135498046875, -10.940242767333984, -12.447216987609863, -10.923624038696289, -10.093771934509277, -9.682146072387695, -11.884089469909668, -10.640280723571777, -9.195657730102539, -10.463448524475098, -12.443876266479492, -12.691505432128906, -10.598166465759277, -9.869955062866211, -10.835329055786133, -10.49836540222168, -12.091501235961914, -12.281543731689453, -11.85484504699707, -9.502593994140625, -11.55708122253418]",7241732096,mistralai_Mistral-7B-v0.1
A blouse is a,clothing.,blouse,none,clothing,5,"[-16.358646392822266, -16.471221923828125, -16.587879180908203, -13.082037925720215, -15.527857780456543, -15.812304496765137, -16.17046356201172, -15.745580673217773, -13.691438674926758, -14.056842803955078, -16.652835845947266, -16.01853370666504, -16.30872344970703, -16.813934326171875, -15.188082695007324, -16.589557647705078, -13.622771263122559, -16.20248794555664, -16.449810028076172, -16.477426528930664, -14.130146026611328, -14.890562057495117, -16.30073356628418, -16.370708465576172, -15.525725364685059, -15.92184066772461, -15.6961669921875, -15.78466796875, -16.618316650390625, -15.875493049621582, -16.496444702148438, -16.291309356689453, -16.028242111206055, -16.792606353759766, -14.84524154663086, -14.97697925567627, -17.013307571411133, -14.73799991607666, -15.325324058532715, -16.160799026489258, -14.899080276489258, -14.49400806427002, -16.5462646484375, -15.4874849319458, -16.68896484375, -15.913219451904297, -15.354361534118652, -15.549893379211426, -15.88835620880127, -12.705342292785645]",7241732096,mistralai_Mistral-7B-v0.1
A suit is a,clothing.,suit,none,clothing,6,"[-10.792499542236328, -10.357662200927734, -9.768239974975586, -10.940825462341309, -11.95098876953125, -12.430419921875, -12.427050590515137, -9.774953842163086, -8.781844139099121, -12.13963508605957, -9.714330673217773, -9.893218994140625, -12.652512550354004, -12.42248821258545, -11.685169219970703, -11.242889404296875, -12.444459915161133, -11.161656379699707, -10.754253387451172, -10.312498092651367, -10.583009719848633, -12.065206527709961, -10.691156387329102, -11.156435012817383, -10.508630752563477, -12.975406646728516, -12.519179344177246, -11.499558448791504, -11.861891746520996, -11.749327659606934, -9.791396141052246, -13.908787727355957, -11.364561080932617, -10.33453369140625, -11.46399974822998, -11.107192993164062, -12.27280044555664, -9.725168228149414, -13.037229537963867, -10.202489852905273, -12.744728088378906, -10.738889694213867, -11.893669128417969, -11.888895988464355, -11.150455474853516, -10.505051612854004, -10.703832626342773, -9.660432815551758, -9.812457084655762, -12.789813041687012]",7241732096,mistralai_Mistral-7B-v0.1
A slack is a,clothing.,slack,none,clothing,7,"[-15.999167442321777, -15.04112434387207, -15.241866111755371, -15.634056091308594, -15.349148750305176, -15.574158668518066, -16.23073959350586, -16.29249382019043, -16.377012252807617, -16.128633499145508, -16.549190521240234, -16.39128875732422, -15.97800064086914, -15.840117454528809, -15.582117080688477, -15.972624778747559, -15.7612886428833, -16.125463485717773, -16.253141403198242, -15.919179916381836, -10.229279518127441, -17.219669342041016, -15.675488471984863, -16.057693481445312, -16.3148250579834, -15.820048332214355, -15.158876419067383, -16.08979034423828, -15.923872947692871, -16.452198028564453, -15.245241165161133, -15.401190757751465, -15.674633026123047, -16.049449920654297, -15.313018798828125, -15.621567726135254, -16.04399299621582, -16.345298767089844, -16.942569732666016, -16.31317138671875, -15.263359069824219, -17.045774459838867, -16.782007217407227, -15.063953399658203, -15.722628593444824, -16.348804473876953, -16.021881103515625, -16.54189682006836, -16.23947525024414, -16.595172882080078]",7241732096,mistralai_Mistral-7B-v0.1
A jacket is a,clothing.,jacket,none,clothing,8,"[-14.151274681091309, -11.27542495727539, -12.423073768615723, -10.625055313110352, -10.154386520385742, -11.683837890625, -12.724502563476562, -11.098041534423828, -10.431650161743164, -9.52112102508545, -11.131851196289062, -11.965486526489258, -10.042726516723633, -10.37972640991211, -12.57461929321289, -11.144041061401367, -10.372148513793945, -9.507415771484375, -11.792349815368652, -11.675183296203613, -11.036437034606934, -11.115716934204102, -10.634832382202148, -9.961181640625, -9.072189331054688, -11.881584167480469, -12.563230514526367, -12.759488105773926, -10.686161994934082, -12.206384658813477, -12.44662857055664, -12.056642532348633, -10.229863166809082, -13.266395568847656, -10.10680866241455, -11.673812866210938, -10.524606704711914, -10.709369659423828, -11.47785758972168, -6.801429748535156, -13.180676460266113, -10.80648422241211, -12.956310272216797, -10.737911224365234, -10.934037208557129, -11.337088584899902, -9.851679801940918, -10.975618362426758, -12.727371215820312, -10.147968292236328]",7241732096,mistralai_Mistral-7B-v0.1
A coat is a,clothing.,coat,none,clothing,9,"[-13.370956420898438, -12.12220573425293, -10.542888641357422, -10.647870063781738, -11.320565223693848, -12.737207412719727, -11.552188873291016, -11.911524772644043, -13.757891654968262, -11.122639656066895, -11.671760559082031, -11.864752769470215, -12.427687644958496, -12.58517074584961, -12.936962127685547, -9.570690155029297, -13.713417053222656, -14.066877365112305, -11.956489562988281, -12.40711784362793, -12.275876998901367, -11.641286849975586, -10.41508674621582, -11.676093101501465, -12.253287315368652, -11.903467178344727, -11.406170845031738, -9.071990966796875, -10.072471618652344, -11.462258338928223, -11.665292739868164, -9.03944206237793, -10.346273422241211, -11.692777633666992, -10.658254623413086, -12.279313087463379, -9.551443099975586, -11.499385833740234, -9.575911521911621, -12.405595779418945, -11.451388359069824, -13.434667587280273, -10.513907432556152, -11.220046043395996, -12.374135971069336, -11.258855819702148, -11.717172622680664, -11.365699768066406, -9.327821731567383, -11.82205581665039]",7241732096,mistralai_Mistral-7B-v0.1
A sweater is a,clothing.,sweater,none,clothing,10,"[-12.964905738830566, -15.904797554016113, -16.09252166748047, -16.133045196533203, -16.9453182220459, -16.201419830322266, -13.531435012817383, -15.001424789428711, -15.925774574279785, -16.398452758789062, -15.254545211791992, -16.192596435546875, -13.944725036621094, -12.026618957519531, -16.245342254638672, -16.238372802734375, -15.928389549255371, -15.484907150268555, -16.255889892578125, -14.649641990661621, -12.782279968261719, -12.538101196289062, -16.313594818115234, -16.259119033813477, -15.897589683532715, -17.23379898071289, -13.692988395690918, -15.904206275939941, -15.965307235717773, -15.994447708129883, -16.23041343688965, -12.860984802246094, -15.409438133239746, -16.333547592163086, -16.301111221313477, -16.333019256591797, -15.732808113098145, -14.826676368713379, -14.397928237915039, -16.540699005126953, -12.627363204956055, -15.57598876953125, -15.615276336669922, -14.39010238647461, -14.936309814453125, -11.99843978881836, -15.17148494720459, -15.889871597290039, -16.212982177734375, -15.831196784973145]",7241732096,mistralai_Mistral-7B-v0.1
A sweatshirt is a,clothing.,sweatshirt,none,clothing,11,"[-16.224082946777344, -13.131949424743652, -16.980194091796875, -16.22458267211914, -16.481929779052734, -16.72447395324707, -14.70374870300293, -16.147411346435547, -15.901021957397461, -15.836723327636719, -12.9557523727417, -16.423133850097656, -16.47789764404297, -15.668415069580078, -15.957828521728516, -14.330635070800781, -14.02598762512207, -12.259296417236328, -16.358131408691406, -15.981806755065918, -14.323755264282227, -14.828396797180176, -16.200773239135742, -16.490610122680664, -12.573310852050781, -15.935547828674316, -15.114866256713867, -16.27314567565918, -16.223403930664062, -16.05506134033203, -15.116557121276855, -16.482807159423828, -16.564102172851562, -16.801599502563477, -16.217830657958984, -13.064386367797852, -15.377589225769043, -12.679718971252441, -16.083486557006836, -16.716079711914062, -15.094005584716797, -14.949548721313477, -16.704063415527344, -15.798038482666016, -16.01622772216797, -16.927600860595703, -17.103769302368164, -16.21369743347168, -16.026777267456055, -16.102325439453125]",7241732096,mistralai_Mistral-7B-v0.1
An underpant is a,clothing.,underpant,none,clothing,12,"[-13.204850196838379, -10.063239097595215, -10.359212875366211, -11.735101699829102, -14.025147438049316, -9.980032920837402, -13.405664443969727, -14.475540161132812, -12.546605110168457, -13.849994659423828, -13.901676177978516, -12.785761833190918, -14.141745567321777, -10.49540901184082, -13.403952598571777, -13.92190933227539, -14.693426132202148, -13.612456321716309, -14.004071235656738, -14.319494247436523, -10.265176773071289, -13.842955589294434, -12.423707008361816, -14.234413146972656, -13.706075668334961, -14.151233673095703, -10.20590591430664, -13.25385570526123, -13.092554092407227, -13.782519340515137, -13.809349060058594, -13.494476318359375, -13.522624969482422, -14.042137145996094, -14.073569297790527, -13.33098316192627, -12.660703659057617, -14.426065444946289, -13.487038612365723, -13.364550590515137, -12.824716567993164, -13.170912742614746, -13.396925926208496, -14.11672592163086, -14.399208068847656, -13.731375694274902, -13.764408111572266, -13.929370880126953, -14.268511772155762, -13.376530647277832]",7241732096,mistralai_Mistral-7B-v0.1
A sports jacket is a,clothing.,sports jacket,none,clothing,13,"[-16.024036407470703, -16.080215454101562, -16.26344108581543, -14.075746536254883, -12.260555267333984, -13.580246925354004, -16.787914276123047, -16.039430618286133, -16.28649139404297, -15.826493263244629, -15.554210662841797, -16.080656051635742, -15.133781433105469, -15.4207763671875, -14.850051879882812, -15.947978019714355, -15.914763450622559, -15.475176811218262, -16.46412467956543, -14.829517364501953, -16.24892807006836, -15.956326484680176, -16.439510345458984, -16.393165588378906, -15.192758560180664, -12.672626495361328, -15.722003936767578, -15.838583946228027, -16.185928344726562, -15.107258796691895, -16.46591567993164, -15.874587059020996, -16.269264221191406, -16.293994903564453, -16.59845733642578, -15.728374481201172, -15.411653518676758, -13.058218002319336, -15.438380241394043, -16.17261505126953, -15.149681091308594, -11.705202102661133, -14.392337799072266, -16.894975662231445, -14.07268238067627, -13.663595199584961, -13.135688781738281, -16.40265464782715, -13.543987274169922, -15.823785781860352]",7241732096,mistralai_Mistral-7B-v0.1
A jumper is a,clothing.,jumper,none,clothing,14,"[-16.02018928527832, -13.443925857543945, -15.800466537475586, -15.690336227416992, -16.515220642089844, -16.12599754333496, -16.441268920898438, -16.254196166992188, -16.210899353027344, -15.513830184936523, -13.666468620300293, -15.912614822387695, -16.578706741333008, -16.28679656982422, -15.718182563781738, -15.918261528015137, -16.039791107177734, -16.6748046875, -15.044412612915039, -12.340503692626953, -16.20793914794922, -16.425474166870117, -15.953845024108887, -16.586467742919922, -14.763988494873047, -16.225534439086914, -15.689906120300293, -16.130577087402344, -15.749669075012207, -15.194756507873535, -13.457438468933105, -16.542617797851562, -15.840807914733887, -15.80975341796875, -12.918188095092773, -15.2712984085083, -15.314580917358398, -14.265830039978027, -15.65138053894043, -16.02933120727539, -15.630467414855957, -16.235273361206055, -16.487491607666016, -16.495513916015625, -14.673434257507324, -15.817865371704102, -15.466218948364258, -16.173828125, -16.907703399658203, -15.677790641784668]",7241732096,mistralai_Mistral-7B-v0.1
A panty is a,clothing.,panty,none,clothing,15,"[-15.778656005859375, -16.148475646972656, -14.891831398010254, -15.85267448425293, -16.399986267089844, -15.459031105041504, -16.04037857055664, -15.575118064880371, -16.784706115722656, -16.10256576538086, -16.255102157592773, -16.720333099365234, -12.853723526000977, -16.985267639160156, -14.711301803588867, -15.923813819885254, -14.02029800415039, -13.149066925048828, -16.183124542236328, -15.654107093811035, -16.55942153930664, -16.420089721679688, -16.54183006286621, -15.667648315429688, -15.112061500549316, -13.929106712341309, -15.647071838378906, -15.165560722351074, -15.721949577331543, -16.844972610473633, -16.682239532470703, -16.679250717163086, -16.671310424804688, -15.198698043823242, -15.38769245147705, -16.688709259033203, -15.8471040725708, -15.028103828430176, -13.494125366210938, -15.966822624206543, -16.32793426513672, -15.330354690551758, -16.07468605041504, -13.435644149780273, -16.810293197631836, -16.13555145263672, -16.37535285949707, -15.774767875671387, -15.440727233886719, -16.23863983154297]",7241732096,mistralai_Mistral-7B-v0.1
A sock is a,clothing.,sock,none,clothing,16,"[-12.60742473602295, -13.832292556762695, -12.856861114501953, -13.831265449523926, -13.017145156860352, -11.884227752685547, -11.534893035888672, -14.074967384338379, -11.41805648803711, -12.175277709960938, -12.356490135192871, -12.837995529174805, -11.488997459411621, -12.292258262634277, -12.926548957824707, -11.587573051452637, -11.420141220092773, -12.558333396911621, -11.329133033752441, -13.913314819335938, -10.426183700561523, -10.911009788513184, -10.591753005981445, -10.664222717285156, -10.298834800720215, -12.88216781616211, -12.881345748901367, -13.155977249145508, -12.318227767944336, -12.51467514038086, -12.763923645019531, -13.119300842285156, -12.363044738769531, -12.13121223449707, -9.500441551208496, -10.180940628051758, -13.330946922302246, -9.909708976745605, -12.370626449584961, -11.959250450134277, -11.452798843383789, -13.023590087890625, -7.249507904052734, -11.648456573486328, -9.183711051940918, -11.89411449432373, -13.895151138305664, -11.564661026000977, -12.574691772460938, -10.279074668884277]",7241732096,mistralai_Mistral-7B-v0.1
A parka is a,clothing.,parka,none,clothing,17,"[-16.764972686767578, -15.507290840148926, -16.178497314453125, -15.974297523498535, -15.849969863891602, -16.27739715576172, -15.415060997009277, -14.63436222076416, -12.891647338867188, -15.874711990356445, -16.277923583984375, -16.522777557373047, -15.361244201660156, -15.1068115234375, -15.172470092773438, -16.676952362060547, -15.368583679199219, -16.105426788330078, -16.967302322387695, -17.057598114013672, -16.46784210205078, -15.961488723754883, -13.121036529541016, -14.71405029296875, -15.364768028259277, -16.49874496459961, -17.306610107421875, -16.63711166381836, -14.893819808959961, -16.109149932861328, -16.468355178833008, -15.133567810058594, -15.941813468933105, -15.967994689941406, -13.97746753692627, -15.368481636047363, -15.845355033874512, -16.23555564880371, -14.721030235290527, -16.03162384033203, -17.759925842285156, -15.4968843460083, -15.2181396484375, -16.22998046875, -12.386136054992676, -15.623348236083984, -15.736289024353027, -16.146732330322266, -15.938760757446289, -16.075119018554688]",7241732096,mistralai_Mistral-7B-v0.1
A pajama is a,clothing.,pajama,none,clothing,18,"[-17.14488410949707, -17.32931137084961, -18.162601470947266, -17.06206512451172, -17.137380599975586, -16.971569061279297, -16.341733932495117, -17.10394287109375, -15.88138198852539, -9.929544448852539, -9.859014511108398, -17.6156063079834, -15.649496078491211, -17.049158096313477, -17.008041381835938, -9.737503051757812, -16.54140853881836, -16.54063606262207, -18.20359230041504, -16.7324275970459, -16.638734817504883, -16.686397552490234, -16.233680725097656, -16.75794219970703, -16.649425506591797, -17.94075584411621, -11.153190612792969, -16.105358123779297, -16.522235870361328, -17.924222946166992, -18.136402130126953, -15.89402961730957, -16.883281707763672, -18.09787368774414, -17.74602508544922, -14.821955680847168, -17.38400650024414, -16.874242782592773, -17.822834014892578, -16.198265075683594, -16.924175262451172, -16.79326057434082, -16.14185905456543, -17.362241744995117, -10.32927131652832, -16.965877532958984, -16.374448776245117, -17.96234130859375, -17.121047973632812, -17.80408477783203]",7241732096,mistralai_Mistral-7B-v0.1
An undershirt is a,clothing.,undershirt,none,clothing,19,"[-15.076330184936523, -14.011455535888672, -15.132681846618652, -12.548813819885254, -14.480774879455566, -9.973331451416016, -10.127549171447754, -14.733302116394043, -14.949309349060059, -13.401375770568848, -10.153855323791504, -15.41569709777832, -14.405336380004883, -14.291158676147461, -10.345765113830566, -14.945723533630371, -15.335253715515137, -15.143695831298828, -15.25676155090332, -14.348732948303223, -9.914627075195312, -13.262445449829102, -14.23027515411377, -9.806804656982422, -15.477519989013672, -14.159204483032227, -11.430513381958008, -15.028915405273438, -13.685453414916992, -9.874387741088867, -14.798739433288574, -14.929704666137695, -14.818265914916992, -14.176694869995117, -15.902950286865234, -14.630219459533691, -14.416738510131836, -14.347816467285156, -9.569326400756836, -15.017338752746582, -16.246191024780273, -14.34694766998291, -13.487944602966309, -14.679474830627441, -15.315309524536133, -16.47221565246582, -15.668498992919922, -13.667003631591797, -16.305280685424805, -10.079479217529297]",7241732096,mistralai_Mistral-7B-v0.1
An overcoat is a,clothing.,overcoat,none,clothing,20,"[-15.874333381652832, -15.00126838684082, -13.92727279663086, -10.370341300964355, -14.490872383117676, -13.843278884887695, -15.412654876708984, -14.876558303833008, -15.156423568725586, -10.676437377929688, -14.277986526489258, -14.068822860717773, -15.137393951416016, -12.903841972351074, -15.269792556762695, -14.856538772583008, -15.155046463012695, -15.30757999420166, -14.927968978881836, -13.775965690612793, -15.197820663452148, -15.557515144348145, -15.783220291137695, -14.488086700439453, -15.086389541625977, -13.862486839294434, -14.238752365112305, -14.873788833618164, -15.388594627380371, -9.851192474365234, -14.159990310668945, -9.983854293823242, -14.222417831420898, -14.535385131835938, -15.41823959350586, -14.307390213012695, -13.95964527130127, -14.791175842285156, -15.44912338256836, -15.00323486328125, -14.397007942199707, -14.934591293334961, -14.201910018920898, -14.820517539978027, -14.29577922821045, -14.212635040283203, -15.347282409667969, -15.264310836791992, -14.522773742675781, -13.5794677734375]",7241732096,mistralai_Mistral-7B-v0.1
A nightgown is a,clothing.,nightgown,none,clothing,21,"[-11.53018569946289, -11.6514892578125, -10.486305236816406, -11.884913444519043, -12.793949127197266, -11.720303535461426, -11.594865798950195, -12.666801452636719, -12.323660850524902, -12.568053245544434, -11.867164611816406, -11.448458671569824, -11.703621864318848, -11.53707504272461, -11.890271186828613, -11.541196823120117, -12.373177528381348, -12.014081001281738, -11.850821495056152, -12.492864608764648, -10.233365058898926, -11.881084442138672, -11.873492240905762, -11.849919319152832, -12.281160354614258, -12.261736869812012, -9.957481384277344, -12.023900985717773, -13.256402969360352, -11.581585884094238, -12.751985549926758, -9.842940330505371, -10.30868911743164, -12.498249053955078, -12.564613342285156, -11.387779235839844, -12.771615982055664, -12.490365982055664, -12.059349060058594, -12.161423683166504, -10.944486618041992, -12.180327415466309, -12.011762619018555, -10.909688949584961, -12.011880874633789, -11.62286376953125, -11.899465560913086, -13.028892517089844, -11.613344192504883, -12.26010513305664]",7241732096,mistralai_Mistral-7B-v0.1
A raincoat is a,clothing.,raincoat,none,clothing,22,"[-10.30593204498291, -14.048567771911621, -13.741375923156738, -13.285724639892578, -13.629476547241211, -14.763531684875488, -12.709982872009277, -14.325881004333496, -14.157295227050781, -13.581155776977539, -14.552127838134766, -13.909343719482422, -10.59050178527832, -12.990777015686035, -13.154607772827148, -10.358234405517578, -14.334786415100098, -13.909664154052734, -10.120697021484375, -13.00684642791748, -15.49040699005127, -13.570685386657715, -13.1937894821167, -13.533742904663086, -11.996135711669922, -10.81059455871582, -14.312286376953125, -13.405970573425293, -14.228391647338867, -13.814616203308105, -11.811909675598145, -13.43468952178955, -13.465279579162598, -14.094305038452148, -12.363912582397461, -11.790327072143555, -13.373790740966797, -13.677237510681152, -13.628908157348633, -13.98900318145752, -14.654273986816406, -11.555944442749023, -13.247516632080078, -14.88335132598877, -13.508089065551758, -14.54275894165039, -13.965554237365723, -13.923032760620117, -13.858051300048828, -14.298552513122559]",7241732096,mistralai_Mistral-7B-v0.1
A bathing suit is a,clothing.,bathing suit,none,clothing,23,"[-15.19251823425293, -14.341852188110352, -15.336084365844727, -14.13778305053711, -14.54483699798584, -14.918600082397461, -15.342121124267578, -14.456121444702148, -15.061656951904297, -14.278407096862793, -14.08680534362793, -13.781027793884277, -14.257895469665527, -13.924698829650879, -14.755468368530273, -15.225469589233398, -14.833290100097656, -14.343110084533691, -15.167365074157715, -14.822723388671875, -10.668729782104492, -13.751334190368652, -14.956968307495117, -14.901023864746094, -15.375937461853027, -14.50218391418457, -10.618086814880371, -14.501060485839844, -13.5416841506958, -14.715537071228027, -14.185372352600098, -14.905740737915039, -15.116538047790527, -14.631893157958984, -14.18978214263916, -9.658401489257812, -15.096564292907715, -14.558552742004395, -14.578425407409668, -14.90314769744873, -14.291556358337402, -14.82482624053955, -15.99464225769043, -13.896773338317871, -14.594511985778809, -14.742838859558105, -15.713419914245605, -13.71924877166748, -14.535209655761719, -14.256656646728516]",7241732096,mistralai_Mistral-7B-v0.1
A bathrobe is a,clothing.,bathrobe,none,clothing,24,"[-16.951091766357422, -14.298402786254883, -16.01370620727539, -15.920085906982422, -13.823740005493164, -15.269495964050293, -13.741344451904297, -16.318798065185547, -16.2315616607666, -16.669776916503906, -16.67782211303711, -16.295324325561523, -14.495938301086426, -13.065603256225586, -15.871016502380371, -15.522760391235352, -14.902206420898438, -11.975883483886719, -15.68626594543457, -15.803247451782227, -16.126174926757812, -13.774198532104492, -15.918635368347168, -15.025424003601074, -16.638227462768555, -16.063426971435547, -16.357755661010742, -16.506591796875, -12.55817985534668, -16.539073944091797, -16.52325439453125, -15.502443313598633, -16.014488220214844, -15.00383472442627, -12.395292282104492, -16.003936767578125, -14.669809341430664, -15.951987266540527, -13.556962966918945, -16.512605667114258, -12.720756530761719, -15.687082290649414, -15.934282302856445, -15.969600677490234, -15.139079093933105, -16.18480682373047, -13.334074020385742, -15.948882102966309, -15.686269760131836, -15.925285339355469]",7241732096,mistralai_Mistral-7B-v0.1
A slip is a,clothing.,slip,none,clothing,25,"[-12.121496200561523, -12.982768058776855, -13.901729583740234, -9.769400596618652, -9.911405563354492, -13.281435012817383, -9.621639251708984, -11.881673812866211, -13.305961608886719, -12.558717727661133, -10.305026054382324, -13.080694198608398, -12.296146392822266, -14.396302223205566, -11.737849235534668, -12.686604499816895, -12.569692611694336, -10.480920791625977, -9.86584186553955, -13.515531539916992, -12.302724838256836, -12.211933135986328, -12.999090194702148, -12.002238273620605, -10.69797134399414, -9.518621444702148, -9.74825668334961, -12.220280647277832, -12.596463203430176, -13.60863971710205, -11.445660591125488, -12.334596633911133, -12.572463035583496, -13.101120948791504, -12.925697326660156, -12.267264366149902, -13.6221923828125, -10.69138240814209, -12.841348648071289, -12.406791687011719, -11.717735290527344, -12.55185317993164, -10.590535163879395, -13.235626220703125, -12.95425033569336, -12.896394729614258, -13.589126586914062, -14.503229141235352, -13.408502578735352, -13.494474411010742]",7241732096,mistralai_Mistral-7B-v0.1
A bra is a,clothing.,bra,none,clothing,26,"[-11.864980697631836, -11.209076881408691, -12.693336486816406, -12.784927368164062, -12.797426223754883, -8.815972328186035, -12.977132797241211, -10.085281372070312, -11.177787780761719, -14.069357872009277, -10.618937492370605, -11.792182922363281, -9.814542770385742, -12.302448272705078, -10.801250457763672, -12.172804832458496, -10.359508514404297, -12.469545364379883, -11.60098648071289, -14.19835376739502, -14.266295433044434, -10.225111961364746, -12.497882843017578, -12.471094131469727, -13.879899024963379, -10.155324935913086, -12.762855529785156, -9.454948425292969, -12.622445106506348, -13.039173126220703, -11.44233226776123, -13.377920150756836, -13.125844955444336, -10.511088371276855, -12.453252792358398, -13.051213264465332, -9.462190628051758, -11.309917449951172, -11.317021369934082, -11.125080108642578, -12.834085464477539, -11.534721374511719, -11.287710189819336, -12.68806266784668, -10.431297302246094, -12.774679183959961, -11.26363754272461, -10.33598518371582, -11.960205078125, -10.750869750976562]",7241732096,mistralai_Mistral-7B-v0.1
A shoe is a,clothing.,shoe,none,clothing,27,"[-12.813260078430176, -12.783757209777832, -11.501869201660156, -10.395846366882324, -12.33604907989502, -12.4957275390625, -13.00589370727539, -12.914052963256836, -12.202144622802734, -11.693290710449219, -12.196809768676758, -10.105207443237305, -14.08640193939209, -11.465269088745117, -13.083170890808105, -13.240094184875488, -14.806906700134277, -13.192174911499023, -12.473797798156738, -12.290281295776367, -10.164117813110352, -11.889652252197266, -14.429394721984863, -12.465285301208496, -11.461933135986328, -13.263235092163086, -12.355143547058105, -11.940619468688965, -12.701946258544922, -11.715860366821289, -12.673115730285645, -11.724885940551758, -11.68209457397461, -11.420891761779785, -14.059165000915527, -11.686352729797363, -11.612974166870117, -12.736787796020508, -11.363879203796387, -13.070469856262207, -10.71064567565918, -13.574895858764648, -11.727683067321777, -13.559547424316406, -10.687019348144531, -13.158293724060059, -13.030186653137207, -12.981973648071289, -12.331077575683594, -10.497507095336914]",7241732096,mistralai_Mistral-7B-v0.1
A tuxedo is a,clothing.,tuxedo,none,clothing,28,"[-10.133295059204102, -14.008087158203125, -12.925942420959473, -13.662555694580078, -13.19448471069336, -14.407090187072754, -13.946602821350098, -13.270307540893555, -14.069632530212402, -13.526934623718262, -14.921566009521484, -13.290074348449707, -10.16549015045166, -10.283588409423828, -12.980226516723633, -13.192920684814453, -13.354694366455078, -12.550002098083496, -9.9594087600708, -13.265813827514648, -14.27720832824707, -13.691112518310547, -12.012022972106934, -12.201275825500488, -10.098456382751465, -13.708072662353516, -13.8950777053833, -13.186832427978516, -13.467453956604004, -13.723716735839844, -10.739923477172852, -13.817856788635254, -13.312053680419922, -13.888863563537598, -12.79786205291748, -10.556079864501953, -13.607933044433594, -13.04212760925293, -12.765132904052734, -13.501200675964355, -12.296287536621094, -13.84786319732666, -9.923246383666992, -11.227484703063965, -13.04984188079834, -13.152620315551758, -14.482872009277344, -13.795138359069824, -14.542675018310547, -10.123811721801758]",7241732096,mistralai_Mistral-7B-v0.1
